id,operational_order_id,produto,quantidade,unidade,created_at,lote,valor_unitario
1d2235c4-c911-41ac-a531-22ea1e706723,04523a98-c31e-43a7-a57a-cfa6d22c1c57,CD_KIT_AMOSTRAS,1,un,2026-03-25 17:46:32.194978+00,,
62bbeae3-d717-4adf-a497-6d9920abbc76,cc1aec56-b572-4319-975b-06658a871d48,CD_ORIGINAL_90G,1,un,2026-03-25 17:52:28.091265+00,,
4c3b9887-6798-423d-b8b4-dcf54225075a,3a3f530e-8bee-4055-9737-de5996a5285a,Farinha BSF,1,kg,2026-03-03 16:47:51.718329+00,,
80c24c35-eb0e-44fd-8783-ed998c0ad257,d3cf0871-506b-401a-ba3e-294c42ec13ab,CD_SUPLEMENTO_GATOS_180G,1,un,2026-03-09 14:15:44.69722+00,,
e106d95e-1c98-4254-b4cc-9c3b7474a9ee,bb703dd4-663e-442f-afe1-a32b864caaf0,CD_ORIGINAL_90G,1,un,2026-03-04 14:28:13.402861+00,,
6e1a0d4e-669e-410e-a4fa-f8ce9d30cc0c,d3cf0871-506b-401a-ba3e-294c42ec13ab,CD_AMOSTRA_GATOS,1,un,2026-03-09 14:15:44.69722+00,,
dd8376ce-5c08-4e52-9b8d-d839861bd943,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_CAIXA_SEEDING,1,un,2026-03-26 15:13:06.898279+00,,
ffaa78e5-94c3-4f30-b1da-ac22dc47210b,9471996e-8ca5-480e-9377-07601c92b23d,CD_ORIGINAL_90G,1,un,2026-03-04 17:25:28.487507+00,,
952eea4b-ae21-4e41-8e3b-3fc5b2fec6f8,9471996e-8ca5-480e-9377-07601c92b23d,CD_SUPLEMENTO_CONCENTRADO_200G,1,un,2026-03-04 17:25:28.487507+00,,
96e58763-575b-4a68-837d-767f7e2f6250,b2bedcde-5b5f-4090-b4ae-40b575239247,CD_ORIGINAL_90G,1,un,2026-03-10 13:43:05.671929+00,s,
